127.0.0.1, 2015-02-19 00:21:50, GET, /, HTTP/1.1, 303, 0.003173
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.268672
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000617
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000364
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000506
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000332
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000302
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000277
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000258
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000235
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000794
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000713
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001580
127.0.0.1, 2015-02-19 00:21:50, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001091
127.0.0.1, 2015-02-19 00:21:51, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000397
127.0.0.1, 2015-02-19 00:21:51, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000379
127.0.0.1, 2015-02-19 00:21:51, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000282
127.0.0.1, 2015-02-19 00:21:51, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000281
10.1.40.25, 2015-02-19 00:28:01, GET, /, HTTP/1.1, 303, 0.000814
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.083381
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000360
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000253
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000428
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000297
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000392
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000297
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000462
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000335
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000187
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000420
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000399
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000638
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000340
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000805
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000589
10.1.40.25, 2015-02-19 00:28:01, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000648
10.1.40.25, 2015-02-19 00:28:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.013782
10.1.40.25, 2015-02-19 00:34:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.075518
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz, HTTP/1.1, 200, 0.045436
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000610
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/js/web2py.js, HTTP/1.1, 200, 0.000321
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/js/jquery.js, HTTP/1.1, 200, 0.000502
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/css/calendar.css, HTTP/1.1, 200, 0.000390
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000294
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000363
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/js/calendar.js, HTTP/1.1, 200, 0.000319
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/css/web2py.css, HTTP/1.1, 200, 0.000635
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000706
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000474
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000345
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/js/share.js, HTTP/1.1, 200, 0.000221
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/images/favicon.ico, HTTP/1.1, 200, 0.000328
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/images/twitter.png, HTTP/1.1, 200, 0.000432
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/images/facebook.png, HTTP/1.1, 200, 0.000697
10.1.40.25, 2015-02-19 00:34:46, GET, /quiz/static/images/gplus-32.png, HTTP/1.1, 200, 0.000735
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/default/index, HTTP/1.1, 200, 0.065017
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.000971
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000292
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000204
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000314
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.000296
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.000252
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000308
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.001112
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000467
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000400
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.000301
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000301
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000229
10.1.40.25, 2015-02-19 00:35:21, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000203
10.1.40.25, 2015-02-19 00:35:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000182
10.1.40.25, 2015-02-19 00:35:25, GET, /quiz, HTTP/1.1, 200, 0.030825
10.1.40.25, 2015-02-19 00:35:58, GET, /test, HTTP/1.1, 200, 0.043870
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000488
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/js/web2py.js, HTTP/1.1, 200, 0.000299
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/js/jquery.js, HTTP/1.1, 200, 0.000268
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000338
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/css/calendar.css, HTTP/1.1, 200, 0.000379
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000283
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/js/calendar.js, HTTP/1.1, 200, 0.000333
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000453
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000374
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/js/share.js, HTTP/1.1, 200, 0.000336
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/css/web2py.css, HTTP/1.1, 200, 0.000372
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000717
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/images/favicon.ico, HTTP/1.1, 200, 0.000444
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/images/facebook.png, HTTP/1.1, 200, 0.000502
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/images/gplus-32.png, HTTP/1.1, 200, 0.000364
10.1.40.25, 2015-02-19 00:35:58, GET, /test/static/images/twitter.png, HTTP/1.1, 200, 0.001204
10.1.40.25, 2015-02-19 00:36:01, GET, /test/default/instructions, HTTP/1.1, 303, 0.019192
10.1.40.25, 2015-02-19 00:36:01, GET, /test/default/user/login, HTTP/1.1, 200, 0.079437
10.1.40.25, 2015-02-19 00:36:01, GET, /test/static/js/share.js, HTTP/1.1, 304, 0.000501
10.1.40.25, 2015-02-19 00:36:04, GET, /test/default/user/register, HTTP/1.1, 200, 0.036212
10.1.40.25, 2015-02-19 00:36:04, GET, /test/static/js/share.js, HTTP/1.1, 304, 0.000286
10.1.40.25, 2015-02-19 00:36:26, POST, /test/default/user/register, HTTP/1.1, 303, 0.066911
10.1.40.25, 2015-02-19 00:36:26, GET, /test/default/instructions, HTTP/1.1, 200, 0.041298
10.1.40.25, 2015-02-19 00:36:27, GET, /test/static/images/logout.png, HTTP/1.1, 200, 0.000549
10.1.40.25, 2015-02-19 00:36:27, GET, /test/static/images/play.gif, HTTP/1.1, 200, 0.000839
10.1.40.25, 2015-02-19 00:36:27, GET, /test/static/images/inst.jpg, HTTP/1.1, 200, 0.000288
10.1.40.25, 2015-02-19 00:36:35, GET, /test/default/mainpage, HTTP/1.1, 200, 0.033243
10.1.40.25, 2015-02-19 00:36:35, GET, /test/static/js/jquery.js, HTTP/1.1, 304, 0.000333
10.1.40.25, 2015-02-19 00:36:35, GET, /test/static/css/calendar.css, HTTP/1.1, 304, 0.000211
10.1.40.25, 2015-02-19 00:36:35, GET, /test/static/js/web2py.js, HTTP/1.1, 304, 0.000320
10.1.40.25, 2015-02-19 00:36:35, GET, /test/static/js/calendar.js, HTTP/1.1, 304, 0.001039
10.1.40.25, 2015-02-19 00:36:35, GET, /test/static/images/Clock1.gif, HTTP/1.1, 200, 0.000292
10.1.40.25, 2015-02-19 00:36:35, GET, /test/static/images/questionmark.png, HTTP/1.1, 200, 0.000199
10.1.40.25, 2015-02-19 00:36:36, GET, /test/static/images/NoticeboardLOGO.jpg, HTTP/1.1, 200, 0.000374
10.1.40.25, 2015-02-19 00:36:36, GET, /test/static/images/updates.jpg, HTTP/1.1, 200, 0.000301
10.1.40.25, 2015-02-19 00:36:46, GET, /test/default/mainpage/optionB, HTTP/1.1, 303, 0.044229
10.1.40.25, 2015-02-19 00:36:46, GET, /test/default/mainpage, HTTP/1.1, 200, 0.027731
10.1.40.25, 2015-02-19 00:36:50, GET, /test/default/mainpage/optionB, HTTP/1.1, 303, 0.046208
10.1.40.25, 2015-02-19 00:36:50, GET, /test/default/mainpage, HTTP/1.1, 200, 0.026358
10.1.40.25, 2015-02-19 00:36:50, GET, /test/static/images/logout.png, HTTP/1.1, 304, 0.000353
10.1.40.25, 2015-02-19 00:36:56, GET, /test/default/mainpage/optionC, HTTP/1.1, 303, 0.051526
10.1.40.25, 2015-02-19 00:36:56, GET, /test/default/mainpage, HTTP/1.1, 200, 0.026898
10.1.40.25, 2015-02-19 00:37:02, GET, /test/default/mainpage/optionA, HTTP/1.1, 303, 0.048073
10.1.40.25, 2015-02-19 00:37:02, GET, /test/default/mainpage, HTTP/1.1, 200, 0.029090
10.1.40.25, 2015-02-19 00:37:02, GET, /test/static/js/jquery.js, HTTP/1.1, 200, 0.000324
10.1.40.25, 2015-02-19 00:37:02, GET, /test/static/css/calendar.css, HTTP/1.1, 200, 0.000463
10.1.40.25, 2015-02-19 00:37:02, GET, /test/static/js/calendar.js, HTTP/1.1, 200, 0.000262
10.1.40.25, 2015-02-19 00:37:02, GET, /test/static/js/web2py.js, HTTP/1.1, 200, 0.000575
10.1.40.25, 2015-02-19 00:37:02, GET, /test/static/images/NoticeboardLOGO.jpg, HTTP/1.1, 304, 0.000392
10.1.40.25, 2015-02-19 00:37:02, GET, /test/static/images/updates.jpg, HTTP/1.1, 304, 0.000894
10.1.40.25, 2015-02-19 00:37:02, GET, /test/static/images/Clock1.gif, HTTP/1.1, 304, 0.000626
10.1.40.25, 2015-02-19 00:37:02, GET, /test/static/images/questionmark.png, HTTP/1.1, 200, 0.002687
